Date,Value
6/3/2011,0.993424405
6/6/2011,0.988215563
6/7/2011,1.006673588
6/8/2011,1.000689378
6/9/2011,1.00187211
6/10/2011,1.004995171
6/13/2011,0.993038953
6/14/2011,1.010539571
6/15/2011,1.002778682
6/16/2011,0.982971111
6/17/2011,0.993637435
6/20/2011,1.000312244
6/21/2011,1.01126109
6/22/2011,1.017946684
6/23/2011,0.996605255
6/24/2011,1.008541414
6/27/2011,0.989626676
6/28/2011,1.007378222
6/29/2011,1.015367354
6/30/2011,1.001921974
7/1/2011,1.005295435
7/4/2011,1.009831662
7/5/2011,1.000739594
7/6/2011,1.011032434
7/7/2011,0.998875195
7/8/2011,1.006612044
7/11/2011,0.993272637
7/12/2011,0.985738128
7/13/2011,1.003749751
7/14/2011,0.997288051
7/15/2011,1.003859616
7/19/2011,0.991503308
7/20/2011,1.011747619
7/21/2011,1.000448661
7/22/2011,1.012159437
7/25/2011,0.991896991
7/26/2011,1.004747255
7/27/2011,0.99499597
7/28/2011,0.985484418
7/29/2011,0.993099998
8/1/2011,1.013422057
8/2/2011,0.987915725
8/3/2011,0.978927492
8/4/2011,1.00228699
8/5/2011,0.962802244
8/8/2011,0.978244847
8/9/2011,0.983173608
8/10/2011,1.010538316
8/11/2011,0.99371596
8/12/2011,0.997971407
8/15/2011,1.013687446
8/16/2011,1.002313293
8/17/2011,0.994491319
8/18/2011,0.987468616
8/19/2011,0.974896516
8/22/2011,0.989550655
8/23/2011,1.012155575
8/24/2011,0.989305014
8/25/2011,1.015365276
8/26/2011,1.002897729
8/29/2011,1.00608896
8/30/2011,1.011585892
8/31/2011,1.000145166
9/1/2011,1.011791988
9/2/2011,0.987853217
9/5/2011,0.981422735
9/6/2011,0.977928108
9/7/2011,1.020119717
9/8/2011,1.003390228
9/9/2011,0.993692801
9/12/2011,0.9768828
9/13/2011,1.009475517
9/14/2011,0.988628918
9/15/2011,1.017642637
9/16/2011,1.02252889
9/20/2011,0.983876654
9/21/2011,1.00228407
9/22/2011,0.979304762
9/26/2011,0.978256515
9/27/2011,1.028160575
9/28/2011,1.000662047
9/29/2011,1.009933095
9/30/2011,0.99989192
10/3/2011,0.98220639
10/4/2011,0.989542969
10/5/2011,0.991350685
10/6/2011,1.016585875
10/7/2011,1.00980995
10/11/2011,1.019529048
10/12/2011,0.996035951
10/13/2011,1.009652199
10/14/2011,0.991466859
10/17/2011,1.01504804
10/18/2011,0.984493732
10/19/2011,1.003503798
10/20/2011,0.989696297
10/21/2011,0.999624431
10/24/2011,1.019022113
10/25/2011,0.990765369
